episode_id,step,decision_step,timestamp,zone_1_temp_error,zone_1_temp_delta,zone_1_co2_error,zone_1_co2_delta,zone_2_temp_error,zone_2_temp_delta,zone_2_co2_error,zone_2_co2_delta,zone_3_temp_error,zone_3_temp_delta,zone_3_co2_error,zone_3_co2_delta,zone_4_temp_error,zone_4_temp_delta,zone_4_co2_error,zone_4_co2_delta,outdoor_temp,outdoor_temp_slope,sin_time,cos_time,prev_zone_1_damper,prev_zone_2_damper,prev_zone_3_damper,prev_zone_4_damper,prev_oa_damper,prev_coil_valve,prev_fan_speed,action_zone_1_tanh,action_zone_2_tanh,action_zone_3_tanh,action_zone_4_tanh,action_oa_tanh,action_coil_tanh,action_fan_tanh
3,0,1,2025-07-29 08:00:00,2.7586746,0.011489868,-580.0,0.0,2.7493553,0.011953354,-580.0,0.0,2.6292686,0.012393951,-580.0,0.0,2.8973827,0.011396408,-580.0,0.0,30.4,-0.6,0.8660254,-0.5,0.525,0.525,0.525,0.525,0.32500002,0.53,0.92499995,0.99899995,0.99899995,0.99899995,0.99899995,-0.999,0.99899995,0.99899995
3,1,1,2025-07-29 08:05:00,2.4323292,-0.08282852,-497.0578,14.910614,2.3089275,-0.104551315,-543.44275,7.9174805,2.3046188,-0.081085205,-527.55945,10.399994,2.5914555,-0.07822418,-538.046,8.778442,30.7,3.6,0.85491186,-0.51877326,0.99952495,0.99952495,0.99952495,0.99952495,0.050274998,0.99952996,1.3995249,0.99899995,0.99899995,0.99899995,0.99899995,-0.999,0.99899995,0.99899995
3,2,1,2025-07-29 08:10:00,1.9966698,-0.08805466,-431.06335,12.255066,1.7702084,-0.10798645,-501.30704,8.668518,1.8797932,-0.085754395,-476.50305,10.07312,2.1788406,-0.08351135,-492.78598,9.160645,31.0,3.6,0.8433914,-0.53729963,0.99952495,0.99952495,0.99952495,0.99952495,0.050274998,0.99952996,1.3995249,0.99899995,0.99899995,0.99899995,0.99899995,-0.999,0.47261435,0.99899995
3,3,1,2025-07-29 08:15:00,1.5639744,-0.08552742,-374.78333,10.692383,1.2423058,-0.10399246,-457.1952,8.873901,1.4582157,-0.08337021,-427.2824,9.687256,1.7678146,-0.08133507,-446.9225,9.1449585,31.0,0.0,0.8314696,-0.55557024,0.99952495,0.99952495,0.99952495,0.99952495,0.050274998,0.7521287,1.3995249,0.99899995,0.4015934,0.68112427,0.99899995,-0.999,0.31754792,0.93739283
3,4,1,2025-07-29 08:20:00,1.1257439,-0.0860939,-324.4098,9.712463,0.8434334,-0.07861328,-414.19995,8.606201,1.0617733,-0.07805824,-379.39215,9.403503,1.3474121,-0.08266449,-400.85645,9.087769,31.0,0.0,0.81915206,-0.57357645,0.99952495,0.71575683,0.848534,0.99952495,0.050274998,0.6792475,1.3702615,0.9989859,0.48609132,0.38609707,0.99899995,-0.999,0.564262,0.45494556
3,5,1,2025-07-29 08:25:00,0.78512,-0.06783295,-272.7243,9.922058,0.49113846,-0.07007599,-372.609,8.335999,0.81513214,-0.049411774,-332.77625,9.18988,1.0212879,-0.06500244,-357.43933,8.639648,31.0,0.0,0.8064446,-0.59130967,0.9995183,0.75589335,0.7083961,0.99952495,0.050274998,0.7952031,1.1410991,0.8418063,0.5234839,0.7118032,0.99899995,-0.999,0.042087726,0.624161
3,6,1,2025-07-29 08:30:00,0.46460533,-0.06172943,-226.62329,8.9522705,0.12867546,-0.0701046,-330.64716,8.323853,0.49706078,-0.061397552,-288.80353,8.661621,0.6969509,-0.06247711,-314.9098,8.40686,31.0,0.0,0.7933533,-0.6087614,0.924858,0.7736548,0.8631065,0.99952495,0.050274998,0.5497812,1.2214764,0.8791392,0.836729,0.46315634,0.99899995,-0.999,-0.05015579,0.45617908
3,7,1,2025-07-29 08:35:00,0.20756531,-0.048727036,-181.58307,8.746765,-0.21740723,-0.06609726,-289.6855,8.116333,0.28598976,-0.03991127,-245.9046,8.455261,0.44042206,-0.048635483,-274.26886,8.059387,31.7,8.4,0.77988446,-0.62592345,0.9425911,0.92244625,0.74499923,0.99952495,0.050274998,0.50642675,1.141685,0.61585844,-0.9821504,0.51966894,0.99899995,0.077710256,-0.90597963,-0.3819009
3,8,1,2025-07-29 08:40:00,0.17149353,0.0019664764,-166.60504,2.729126,-0.009483337,0.04260826,-262.59985,5.3582764,0.23176956,-0.0022888184,-230.91272,2.7991333,0.38384056,-0.0016536713,-270.3927,0.8775635,32.4,8.4,0.76604444,-0.64278764,0.8175327,0.058478564,0.7718427,0.99952495,0.34637034,0.104189545,0.74359703,0.33101285,-0.8487687,0.98537785,0.99899995,-0.8788229,0.29682162,-0.5973909
3,9,1,2025-07-29 08:45:00,0.161726,-0.0048389435,-110.40283,10.800781,0.19474983,0.04020691,-234.64264,5.573242,0.10697937,-0.027858734,-190.3927,8.0703125,0.29100227,-0.021738052,-230.77863,7.911804,32.3,-1.2,0.7518398,-0.6593458,0.68223107,0.121834844,0.99305445,0.99952495,0.0833237,0.66950613,0.6412393,0.9789295,0.98645914,0.2963272,0.99899995,-0.999,0.5265959,-0.045267157
