sample_id,variant_name,variant_id,timestamp,decision_step,step,episode_id,q1,q2,q_min,q_mean
0,base,0,2025-07-29 08:00:00,1,0,0,-565.6341,-567.1594,-567.1594,-566.3967
1,base,0,2025-07-29 08:20:00,1,4,0,-453.29538,-452.75006,-453.29538,-453.0227
2,base,0,2025-07-29 08:45:00,1,9,0,-429.099,-432.91403,-432.91403,-431.00653
3,base,0,2025-07-29 09:10:00,1,14,0,-416.80362,-418.03058,-418.03058,-417.4171
4,base,0,2025-07-29 09:35:00,1,19,0,-408.8716,-407.40482,-408.8716,-408.1382
5,base,0,2025-07-29 10:00:00,1,24,0,-386.19028,-387.9138,-387.9138,-387.05203
6,base,0,2025-07-29 10:25:00,1,29,0,-368.21396,-369.7453,-369.7453,-368.9796
7,base,0,2025-07-29 10:50:00,1,34,0,-347.46277,-346.08524,-347.46277,-346.774
8,base,0,2025-07-29 11:15:00,1,39,0,-323.5311,-320.88666,-323.5311,-322.20886
9,base,0,2025-07-29 11:40:00,1,44,0,-288.8473,-290.76917,-290.76917,-289.80823
10,base,0,2025-07-29 12:05:00,1,49,0,-255.94368,-256.3888,-256.3888,-256.16623
11,base,0,2025-07-29 12:30:00,1,54,0,-223.47159,-224.4519,-224.4519,-223.96175
12,base,0,2025-07-29 12:55:00,1,59,0,-190.92049,-190.51689,-190.92049,-190.71869
13,base,0,2025-07-29 13:20:00,1,64,0,-168.43639,-168.295,-168.43639,-168.36569
14,base,0,2025-07-29 13:45:00,1,69,0,-143.198,-142.00253,-143.198,-142.60027
15,base,0,2025-07-29 14:10:00,1,74,0,-123.66693,-123.206345,-123.66693,-123.43664
16,base,0,2025-07-29 14:35:00,1,79,0,-103.1369,-103.90887,-103.90887,-103.52289
17,base,0,2025-07-29 15:00:00,1,84,0,-82.04706,-81.9072,-82.04706,-81.97713
18,base,0,2025-07-29 15:25:00,1,89,0,-57.39068,-56.28437,-57.39068,-56.837524
19,base,0,2025-07-29 15:50:00,1,94,0,-33.451683,-34.985935,-34.985935,-34.21881
